claim_id,user_id,user_phone,aadhar_number,vehicle_type,vehicle_subtype,vehicle_age,vehicle_model,chassis_number,policy_number,policy_validity,claim_type,previous_claims,claim_frequency_30d,accident_type,accident_severity,accident_location,garage_city,claim_amount,repair_estimate,garage_id,agent_id,document_verified,damage_consistency,image_uploaded,days_to_claim,is_fraud
8490225c-b148-4cd1-a9d0-af344f8d6e3c,098f11b2-bdfc-436c-bddd-99e5d02e9ca3,9264184516,563796029065,car,XUV,8,Model_47,0fc0e409-7,837c119e,1,accident,6,3,major,high,Delhi,Delhi,94104,15684,G001,A12,1,0,0,3,1
0f47e517-56d4-46b2-a171-9bd08e15367a,be1f85b8-0472-4a7c-b844-51525636408e,9959176555,435160967252,car,SUV,10,Model_19,58f270cb-5,6ee1627a,1,theft,1,0,major,low,Bangalore,Delhi,274192,34274,G003,A11,1,1,0,4,1
cd1edb78-fd41-4ee0-b59b-0522ee37a138,7aedffb8-c67f-4885-b612-99dbfb89c766,9565449821,233149353959,bike,sports,5,Model_48,8ac1dfd3-d,0d020e76,3,accident,3,4,minor,high,Delhi,Mumbai,46681,44518,G002,A12,0,1,1,3,0
b62fe95f-115c-4d1f-88fa-87ab852064c9,edc69668-f9e9-4053-8692-7772e73f4cdd,9219035426,929488747279,car,SUV,7,Model_18,1603696e-5,b086b4a8,1,accident,1,5,minor,medium,Bangalore,Pune,51659,36420,G003,A11,1,1,0,9,0
28c6a259-8725-4e9f-968c-78a70177bd30,da6ed90e-f436-48a2-8582-61728b7fbbe5,9232168620,836231741341,bike,sports,3,Model_18,f038a099-0,4f976992,3,theft,0,1,minor,high,Delhi,Delhi,66735,13347,G001,A12,1,1,0,10,1
f068410a-c172-4adb-a5d5-d6faa557fce6,81bba4d0-8d05-4376-92dd-62ea787f7520,9431221116,332596759934,bike,scooty,10,Model_39,43a1639b-3,c3613cf7,1,accident,2,3,major,high,Mumbai,Delhi,173212,43303,G003,A12,0,0,0,2,1
2492854c-d585-45f4-9e29-39a1d9ed159a,c6366cac-a7e1-4694-8bc4-07a2fce5e54c,9297565166,240335854583,car,XUV,3,Model_3,47f9c71a-6,c094fac8,1,theft,6,5,major,medium,Bangalore,Pune,104328,11592,G002,A11,1,0,0,2,1
28938247-6546-4601-babf-f92ea635e977,1dd17d35-6d5b-49d4-995f-9b53f29129fd,9738632210,410761886876,bike,sports,4,Model_15,ce24aa53-1,92fec3e8,2,theft,3,5,major,medium,Delhi,Delhi,20256,6752,G003,A10,0,0,1,4,1
d40e827b-d014-42d2-9cf5-7002ba2d06c2,7bb5edc5-ca3b-4157-9145-b3e6555836df,9510553219,269869821245,car,sedan,2,Model_46,3e5ac607-8,65b00c1a,4,theft,1,1,major,high,Mumbai,Bangalore,9727,9421,G002,A12,0,1,0,4,0
00c0615a-e5a5-4fd4-b37e-7629e13916df,0fc128e4-f343-4a19-88cd-567206f010c7,9520440832,797926660114,bike,sports,10,Model_25,89f25356-e,dfdb8d18,4,accident,6,2,major,low,Delhi,Pune,45597,33275,G001,A12,1,1,1,7,1
b6909065-8da5-4932-aafd-80ff14930929,514eee0a-eceb-4124-87fe-d8884ded894a,9762164191,163326267708,bike,cruiser,7,Model_25,6d15078b-8,63a8a75f,3,accident,0,3,major,low,Bangalore,Pune,95682,31894,G002,A12,1,1,0,5,1
8a707f43-66f4-4ecb-a235-04d3c22d03c4,f8a4c02a-b2a7-41fe-baf7-b806a5192c86,9879951072,596766673183,bike,sports,9,Model_34,aebc791f-e,f524dd17,1,accident,2,4,minor,low,Bangalore,Delhi,41394,32254,G001,A12,0,0,0,3,0
d5117a3a-ac88-4f70-9a4d-75b327a58ffa,ed6e7b4b-2502-4f95-b81a-dce5b0a173f9,9741908623,751803211011,bike,classic,2,Model_26,10f6c97f-b,360034dc,2,accident,6,3,major,low,Delhi,Mumbai,45744,28040,G002,A10,1,1,1,5,1
57042ddc-af69-4d67-ac29-ff79de32e579,f6c8074f-3331-43e4-a6d3-d94078278557,9705689413,742346677893,bike,sports,7,Model_21,1d1eda8d-8,e7ccd934,2,accident,6,3,major,low,Delhi,Mumbai,290133,32237,G002,A11,0,0,1,10,1
24b95500-46f8-4bfa-bd8f-307ea0f4f007,c3c55ec0-a60e-4a55-9dac-eb33fe4e1dc5,9410002256,263251927814,car,sedan,7,Model_19,58d8f109-9,dedaf9b0,2,accident,0,4,minor,medium,Delhi,Mumbai,40040,25713,G001,A11,1,0,1,6,0
b99f4cac-5185-4c0c-ab91-8573b8738ba1,80ed673c-815e-4752-95f4-499f1a2e523b,9747464165,696952828297,car,sedan,2,Model_49,e0823ffd-9,360fc448,5,theft,2,3,major,high,Mumbai,Delhi,24157,14136,G001,A10,0,0,1,6,0
7585b68f-c0f3-4d39-a896-c51c29d7c993,1b2be5cb-3ceb-4bbe-b619-748a4d17f5f7,9421960905,749628231062,car,SUV,3,Model_8,fb6727fb-d,b5cbf21d,5,accident,2,1,major,low,Mumbai,Bangalore,29711,22043,G003,A10,0,0,0,7,0
13d336d1-468d-4cd0-8680-33aea8dce0a3,33340a45-3cd8-4771-b8d9-d09629d30b26,9843532748,697122099527,bike,scooty,9,Model_3,e02933d8-9,f8c438b8,4,theft,6,1,minor,medium,Delhi,Pune,30357,10432,G001,A12,0,1,0,3,1
cf92f62e-40dc-4d17-9b8e-7a59e0d1e1dd,3d756e4a-7548-4391-bf8d-2a5438181b5c,9014139131,467287338714,bike,cruiser,1,Model_33,433ee387-f,c735fd3a,4,accident,4,4,major,medium,Delhi,Bangalore,53848,46124,G001,A10,0,1,1,5,0
d2d566a9-d97e-41f1-a55c-e06bac7f7ae3,f1d282a3-8a31-4da4-939c-48225ec8dae6,9469576024,677899698022,bike,classic,10,Model_13,a835ec82-4,53f2e6ef,1,accident,5,2,major,medium,Pune,Delhi,56828,38219,G003,A12,0,0,1,6,1
73bf90e0-8a64-4c97-bd52-3df9c4be746d,14f12390-f99a-4394-856b-c72c50335697,9531543692,873405193213,car,sedan,7,Model_28,70f97247-b,6f594c8d,1,accident,6,5,minor,high,Delhi,Bangalore,40350,34957,G003,A10,1,0,1,7,1
1f3a9a4c-16dd-42a5-acff-d1976a2e1482,19d713a1-2d97-4482-ba55-f9966b5e45af,9403611613,895978413383,bike,classic,5,Model_22,950169bd-8,bc266fca,5,accident,2,4,major,low,Pune,Bangalore,43736,38251,G002,A10,0,0,1,9,0
c70ddfc6-17bd-4a0e-a67c-45e4becea891,5fd77883-daef-4500-867d-5140a9bee147,9239350664,296283529868,car,hatchback,7,Model_47,0d7fb63a-4,399833e4,5,theft,0,5,major,high,Mumbai,Mumbai,299704,37463,G002,A11,1,1,1,7,1
f9352de7-4ff7-4cef-9b2c-99fe9a362641,9f2e6fd2-2a48-4fed-b512-adb47ba3f35e,9287360925,768928095058,bike,classic,10,Model_31,d1acae3a-d,43bcea5c,3,accident,5,2,major,medium,Pune,Mumbai,99428,24857,G001,A11,1,1,1,3,1
